cond,class,euler_factors,sealed
4332,4332.b,null,0
4332,4332.c,null,0
4336,4336.a,null,0
4337,4337.a,null,0
4338,4338.a,null,0
4338,4338.b,null,0
4340,4340.a,null,0
4344,4344.a,null,0
4346,4346.a,null,0
4352,4352.a,null,0
4352,4352.b,null,0
4352,4352.c,null,0
4356,4356.a,null,0
4356,4356.b,null,0
4357,4357.a,null,0
4364,4364.a,null,0
4367,4367.a,null,0
4367,4367.b,null,0
4384,4384.a,null,0
4384,4384.b,null,0
4388,4388.a,null,0
4392,4392.a,null,0
4400,4400.a,null,0
4400,4400.b,null,0
4403,4403.a,null,0
4404,4404.a,null,0
4406,4406.a,null,0
4407,4407.a,null,0
4418,4418.a,null,0
4421,4421.a,null,0
4421,4421.b,null,0
4421,4421.c,null,0
4428,4428.a,null,0
4430,4430.a,null,0
4431,4431.a,null,0
4432,4432.a,null,0
4460,4460.a,null,0
4464,4464.a,null,0
4477,4477.a,null,0
4482,4482.a,null,0
4482,4482.b,null,0
4486,4486.a,null,0
4489,4489.a,null,0
4489,4489.b,null,0
4489,4489.c,null,0
4494,4494.a,null,0
4496,4496.a,null,0
4500,4500.a,null,0
4504,4504.a,null,0
4510,4510.a,null,0
4512,4512.a,null,0
4512,4512.b,null,0
4514,4514.a,null,0
4515,4515.a,null,0
4517,4517.a,null,0
4518,4518.a,null,0
4524,4524.a,null,0
4524,4524.b,null,0
4528,4528.a,null,0
4528,4528.b,null,0
4528,4528.c,null,0
4533,4533.a,null,0
4536,4536.a,null,0
4542,4542.a,null,0
4544,4544.a,null,0
4557,4557.a,null,0
4560,4560.a,null,0
4564,4564.a,null,0
4571,4571.a,null,0
4577,4577.a,null,0
4580,4580.a,null,0
4581,4581.a,null,0
4587,4587.a,null,0
4588,4588.a,null,0
4589,4589.a,null,0
4589,4589.b,null,0
4599,4599.a,null,0
4606,4606.a,null,0
4608,4608.a,null,0
4608,4608.b,null,0
4608,4608.c,null,0
4611,4611.a,null,0
4617,4617.a,null,0
4619,4619.a,null,0
4624,4624.a,null,0
4624,4624.b,null,0
4624,4624.c,null,0
4624,4624.d,null,0
4624,4624.e,null,0
4629,4629.a,null,0
4644,4644.a,null,0
4648,4648.a,null,0
4648,4648.b,null,0
4648,4648.c,null,0
4649,4649.a,null,0
4650,4650.a,null,0
4650,4650.b,null,0
4655,4655.a,null,0
4667,4667.a,null,0
4669,4669.a,null,0
4671,4671.a,null,0
4672,4672.a,null,0
4673,4673.a,null,0
4680,4680.a,null,0
4691,4691.a,null,0
4698,4698.a,null,0
4698,4698.b,null,0
4698,4698.c,null,0
4704,4704.a,null,0
4704,4704.b,null,0
4704,4704.c,null,0
4706,4706.a,null,0
4707,4707.a,null,0
4714,4714.a,null,0
