label,class,cond,abs_disc,eqn,bad_lfactors,is_gl2_type,end_alg,geom_end_alg,st_group,Lhash,sealed
8565.a.128475.1,8565.a,8565,128475,"""[[0,1,4,17,8,1],[0,1]]""","""[[3,[1,-1,3,-3]],[5,[1,-1,3,5]],[571,[1,3,567,-571]]]""",False,Q,Q,USp(4),1582795604519791943,0
8568.a.822528.1,8568.a,8568,822528,"""[[-1,0,-2,4,-2,4,-4],[1,1]]""","""[[2,[1,-1]],[3,[1,0,3]],[7,[1,-1,5,7]],[17,[1,-1,15,17]]]""",False,Q,Q,USp(4),2058417722325773368,0
8574.a.34296.1,8574.a,8574,34296,"""[[-1,1,-2,2,-1,1],[1,1]]""","""[[2,[1,-1,2,-2]],[3,[1,2,4,3]],[1429,[1,-9,1419,1429]]]""",False,Q,Q,USp(4),700867956359995003,0
8575.a.8575.1,8575.a,8575,8575,"""[[-1,-2,-1],[1,0,1,1]]""","""[[5,[1,-1,5]],[7,[1,1]]]""",False,Q,Q,USp(4),764199692775821760,0
8575.b.42875.1,8575.b,8575,42875,"""[[0,1,0,-3,4,-3,1],[1]]""","""[[5,[1,0,-1]],[7,[1,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2067615407239549128,0
8576.a.8576.1,8576.a,8576,8576,"""[[6,8,1,0,2,1],[0,0,1]]""","""[[2,[1,1,2]],[67,[1,-2,68,-67]]]""",False,Q,Q,USp(4),25297762850045156,0
8577.a.694737.1,8577.a,8577,694737,"""[[0,1,-5,7,-6,3],[1,1,1]]""","""[[3,[1,-2,1]],[953,[1,49,903,-953]]]""",False,Q,Q,USp(4),1499890750918106971,0
8579.a.8579.1,8579.a,8579,8579,"""[[0,0,1,1,1,1],[1,1,1]]""","""[[23,[1,-3,19,23]],[373,[1,21,393,373]]]""",False,Q,Q,USp(4),914472084218825149,0
8580.a.68640.1,8580.a,8580,68640,"""[[-33,99,-83,0,14,2],[0,1,1]]""","""[[2,[1,-2,1]],[3,[1,1,3,3]],[5,[1,-3,7,-5]],[11,[1,1,11,11]],[13,[1,5,7,-13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),625205799549021577,0
8586.a.695466.1,8586.a,8586,695466,"""[[-1,-1,1,1,1,1],[0,1]]""","""[[2,[1,1,2,2]],[3,[1]],[53,[1,-11,41,53]]]""",False,Q,Q,USp(4),307413407722349236,0
8588.a.34352.1,8588.a,8588,34352,"""[[0,1,0,-1,-1,0,1],[1,0,1]]""","""[[2,[1,1,2]],[19,[1,3,15,-19]],[113,[1,-11,101,113]]]""",False,Q,Q,USp(4),2077007161434958098,0
8596.a.962752.1,8596.a,8596,962752,"""[[396,446,140,4,0,1],[0,1,1]]""","""[[2,[1,0,-1]],[7,[1,4,2,-7]],[307,[1,-17,323,-307]]]""",False,Q,Q,USp(4),851007659682074755,0
8597.a.8597.1,8597.a,8597,8597,"""[[0,0,-2,-1],[1,1,1,1]]""","""[[8597,[1,19,8615,8597]]]""",False,Q,Q,USp(4),1547456170730506072,0
