lmfdb_label,Clabel,conductor,ainvs
330.a3,330a1,330,"[1, 1, 0, -1393, -20603]"
330.a4,330a4,330,"[1, 1, 0, 1017, -78813]"
330.b1,330e3,330,"[1, 1, 0, -1602, 24024]"
330.b2,330e2,330,"[1, 1, 0, -102, 324]"
330.b3,330e1,330,"[1, 1, 0, -22, -44]"
330.b4,330e4,330,"[1, 1, 0, 118, 1776]"
330.c1,330d3,330,"[1, 1, 1, -1832906, -955821481]"
330.c2,330d2,330,"[1, 1, 1, -122186, -12872617]"
330.c3,330d1,330,"[1, 1, 1, -40266, 2921559]"
330.c4,330d4,330,"[1, 1, 1, 277814, -79112617]"
330.d1,330c5,330,"[1, 1, 1, -171085, -27308713]"
330.d2,330c4,330,"[1, 1, 1, -11825, 488927]"
330.d3,330c3,330,"[1, 1, 1, -10705, -429025]"
330.d4,330c6,330,"[1, 1, 1, -5205, -862425]"
330.d5,330c2,330,"[1, 1, 1, -1025, 767]"
330.d6,330c1,330,"[1, 1, 1, 255, 255]"
330.e1,330b5,330,"[1, 0, 0, -3885, -93525]"
330.e2,330b4,330,"[1, 0, 0, -1175, 15405]"
330.e3,330b3,330,"[1, 0, 0, -255, -1323]"
330.e4,330b2,330,"[1, 0, 0, -75, 225]"
330.e5,330b1,330,"[1, 0, 0, 5, 17]"
330.e6,330b6,330,"[1, 0, 0, 495, -7473]"
331.a1,331a1,331,"[1, 0, 0, -5, 4]"
333.a1,333c2,333,"[1, -1, 1, -14, -14]"
333.a2,333c1,333,"[1, -1, 1, 1, -2]"
333.b1,333a3,333,"[0, 0, 1, -16860, 842625]"
333.b2,333a2,333,"[0, 0, 1, -210, 1134]"
333.b3,333a1,333,"[0, 0, 1, -30, -63]"
333.c1,333b2,333,"[1, -1, 0, -123, 494]"
333.c2,333b1,333,"[1, -1, 0, 12, 35]"
333.d1,333d1,333,"[0, 0, 1, -9, -7]"
334.a1,334a1,334,"[1, -1, 1, -1, -1]"
335.a1,335a1,335,"[0, 0, 1, -2, 2]"
336.a1,336e5,336,"[0, -1, 0, -12544, 544960]"
336.a2,336e4,336,"[0, -1, 0, -784, 8704]"
336.a3,336e3,336,"[0, -1, 0, -624, -5760]"
336.a4,336e6,336,"[0, -1, 0, -544, 13888]"
336.a5,336e2,336,"[0, -1, 0, -64, 64]"
336.a6,336e1,336,"[0, -1, 0, 16, 0]"
336.b1,336a4,336,"[0, -1, 0, -1828, 30700]"
336.b2,336a3,336,"[0, -1, 0, -113, 516]"
336.b3,336a2,336,"[0, -1, 0, -28, 28]"
336.b4,336a1,336,"[0, -1, 0, 7, 0]"
336.c1,336b3,336,"[0, -1, 0, -152, -672]"
336.c2,336b2,336,"[0, -1, 0, -12, 0]"
336.c3,336b1,336,"[0, -1, 0, -7, 10]"
336.c4,336b4,336,"[0, -1, 0, 48, -48]"
336.d1,336d3,336,"[0, 1, 0, -21504, -1220940]"
336.d2,336d5,336,"[0, 1, 0, -14624, 669300]"
336.d3,336d4,336,"[0, 1, 0, -1664, -9804]"
336.d4,336d2,336,"[0, 1, 0, -1344, -19404]"
336.d5,336d1,336,"[0, 1, 0, -64, -460]"
336.d6,336d6,336,"[0, 1, 0, 6176, -69388]"
