label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
573.2.a.c,573,1,0,2,1,2,2,-3,-1,0,-8,2,5,10,-4,-9,9,9,-7,-4,12,-5,9,-10,-17,8,6,-9
573.2.a.d,573,5,0,-3,5,-5,-5,-11,-15,-18,-4,-7,-16,15,-4,-14,-23,21,1,-16,-7,-8,-7,2,1,-14,-23,37
573.2.a.e,573,6,0,-1,-6,1,-9,-6,-8,4,-14,-7,3,-13,-8,9,-38,-12,-2,-4,-5,-13,0,-10,-12,-22,51,4
573.2.a.f,573,7,0,3,7,-1,1,13,-7,18,8,5,2,-15,-2,22,1,3,5,20,-27,16,-23,16,-15,12,19,-11
573.2.a.g,573,10,0,3,-10,1,11,8,8,-8,8,21,-7,7,18,-39,46,0,-6,-8,7,39,6,-12,12,0,-37,16
574.2.a.a,574,1,0,-1,-2,4,1,4,4,-2,-6,-8,6,4,2,-1,0,4,2,14,4,-8,8,-14,-8,6,10,6
574.2.a.b,574,1,0,-1,-1,1,-1,0,2,-5,-4,6,-9,3,-8,-1,7,-10,-13,-14,-5,4,-15,-6,-3,16,13,17
574.2.a.c,574,1,0,-1,1,-3,1,0,2,-3,-4,-6,-3,-1,-4,1,-1,-6,9,-6,-1,8,3,-10,-1,-12,3,-1
574.2.a.d,574,1,0,-1,2,-2,-1,-6,-4,-2,2,0,0,0,10,-1,4,8,-4,-8,10,-14,-12,-6,0,4,-14,-10
574.2.a.e,574,1,0,-1,2,2,1,-2,4,6,-6,8,-4,-8,10,-1,-4,8,-8,-4,-10,-2,12,10,0,0,18,-10
574.2.a.f,574,1,0,-1,3,-1,1,4,-6,3,4,2,1,9,-8,-1,-5,-6,-3,14,-11,-8,3,-14,7,16,5,1
574.2.a.g,574,1,0,1,-3,-1,1,-2,0,-3,-8,-4,-5,-3,10,-1,-5,6,-9,-10,13,-2,9,4,-11,-14,-1,7
574.2.a.h,574,1,0,1,-1,-1,-1,-6,-4,7,0,-8,1,5,-2,1,-5,-6,-3,-10,-3,14,3,8,7,-2,5,5
574.2.a.i,574,1,0,1,-1,1,1,2,4,3,0,4,-5,7,-2,1,-1,-2,-1,10,-13,-2,-3,4,-15,-6,-15,-7
574.2.a.j,574,1,0,1,0,-4,1,-2,-6,-6,4,8,-8,0,-2,-1,-8,0,0,2,-8,10,-12,10,16,-2,-10,-2
574.2.a.k,574,2,0,2,4,2,2,-2,-4,0,0,-4,2,-4,-4,2,4,8,-2,2,10,-10,12,-4,0,6,12,4
574.2.a.l,574,3,0,3,1,1,-3,6,0,-7,4,4,5,7,6,-3,-9,6,-7,-2,-13,22,7,-28,19,-14,23,-25
574.2.a.m,574,4,0,-4,-1,3,-4,4,-6,-1,2,6,17,5,-6,4,-13,6,29,16,21,4,17,12,-27,-18,37,-3
575.2.a.a,575,1,0,-2,-2,0,-1,0,-2,5,8,1,-5,-5,-7,-7,-4,2,1,3,-6,-13,13,-8,-14,3,-14,-14
575.2.a.b,575,1,0,-2,0,0,-1,2,2,-3,-2,-1,7,-5,-11,1,0,0,-11,-13,-8,-5,5,-6,-12,-9,4,14
575.2.a.c,575,1,0,-1,0,0,1,-1,1,0,-5,1,-5,-2,-4,-5,-9,-6,2,8,-8,8,-10,-3,-3,3,10,-2
575.2.a.d,575,1,0,1,0,0,-1,-1,-1,0,-5,-1,-5,-2,4,-5,9,6,-2,8,-8,-8,-10,3,-3,-3,10,2
